datetime,amedas,ek,humid,solar,wind,azimuth,altitude
2014-11-29 01:00:00,17.200,17.100,98.200,0.000,1.000,0.832,-1.284
2014-11-29 02:00:00,16.700,16.600,98.200,0.000,1.000,1.252,-1.093
2014-11-29 03:00:00,16.200,16.300,98.400,0.000,1.000,1.466,-0.878
2014-11-29 04:00:00,15.900,15.900,98.500,0.000,2.000,1.616,-0.659
2014-11-29 05:00:00,15.100,15.200,98.400,0.000,2.000,1.745,-0.442
2014-11-29 06:00:00,14.600,14.800,97.900,0.000,2.000,1.871,-0.229
2014-11-29 07:00:00,14.300,14.400,97.500,0.500,1.000,2.004,-0.012
2014-11-29 08:00:00,13.700,14.300,97.800,23.200,1.000,2.156,0.169
2014-11-29 09:00:00,14.300,15.200,97.200,81.100,2.000,2.335,0.339
2014-11-29 10:00:00,15.000,16.200,95.900,99.700,2.000,2.551,0.480
2014-11-29 11:00:00,15.600,17.600,88.000,142.500,3.000,2.810,0.578
2014-11-29 12:00:00,15.900,18.900,75.800,223.100,3.000,3.101,0.618
2014-11-29 13:00:00,16.100,19.300,66.800,138.000,2.000,3.396,0.595
2014-11-29 14:00:00,16.900,26.900,54.000,525.200,2.000,3.665,0.511
2014-11-29 15:00:00,17.500,26.100,55.000,292.100,1.000,3.893,0.380
2014-11-29 16:00:00,16.800,19.400,63.300,72.000,1.000,4.081,0.217
2014-11-29 17:00:00,14.800,15.400,78.500,10.600,1.000,4.239,0.034
2014-11-29 18:00:00,12.800,12.400,87.100,0.000,2.000,4.376,-0.173
2014-11-29 19:00:00,11.700,11.400,90.300,0.000,2.000,4.503,-0.384
2014-11-29 20:00:00,10.900,10.500,92.000,0.000,0.000,4.629,-0.601
2014-11-29 21:00:00,10.200,9.800,93.600,0.000,0.000,4.770,-0.820
2014-11-29 22:00:00,9.900,9.600,94.300,0.000,1.000,4.957,-1.036
2014-11-29 23:00:00,10.000,9.600,95.200,0.000,0.000,5.291,-1.238
2014-11-30 00:00:00,10.100,9.500,95.600,0.000,0.000,6.116,-1.366
2014-11-30 01:00:00,9.600,9.500,95.900,0.000,1.000,0.836,-1.287
2014-11-30 02:00:00,9.700,9.500,96.400,0.000,0.000,1.256,-1.095
2014-11-30 03:00:00,9.600,9.700,96.500,0.000,0.000,1.469,-0.881
2014-11-30 04:00:00,9.600,9.500,96.800,0.000,1.000,1.619,-0.662
2014-11-30 05:00:00,9.400,8.900,96.500,0.000,1.000,1.747,-0.444
2014-11-30 06:00:00,9.000,8.400,97.000,0.000,1.000,1.872,-0.232
2014-11-30 07:00:00,8.700,8.600,97.300,1.500,1.000,2.006,-0.014
2014-11-30 08:00:00,10.600,11.100,96.400,33.700,1.000,2.157,0.166
2014-11-30 09:00:00,11.600,13.000,93.200,28.200,1.000,2.336,0.336
2014-11-30 10:00:00,12.300,14.800,91.400,98.700,2.000,2.552,0.477
2014-11-30 11:00:00,12.900,14.500,90.600,34.700,1.000,2.809,0.574
2014-11-30 12:00:00,11.700,12.500,93.900,10.600,1.000,3.099,0.615
2014-11-30 13:00:00,11.800,12.400,96.400,31.700,3.000,3.394,0.592
2014-11-30 14:00:00,12.000,12.500,97.000,12.100,1.000,3.662,0.509
2014-11-30 15:00:00,12.300,13.100,97.600,27.700,2.000,3.890,0.379
2014-11-30 16:00:00,12.600,13.300,98.400,25.200,1.000,4.078,0.216
2014-11-30 17:00:00,12.500,13.100,98.200,9.600,1.000,4.236,0.033
2014-11-30 18:00:00,12.700,13.200,98.900,0.000,1.000,4.373,-0.173
2014-11-30 19:00:00,13.200,13.500,99.200,0.000,2.000,4.499,-0.384
2014-11-30 20:00:00,13.000,13.400,99.300,0.000,0.000,4.625,-0.601
2014-11-30 21:00:00,12.900,13.400,99.400,0.000,1.000,4.765,-0.820
2014-11-30 22:00:00,13.000,13.600,99.600,0.000,0.000,4.951,-1.037
2014-11-30 23:00:00,13.100,13.600,99.700,0.000,1.000,5.282,-1.239
2014-12-01 00:00:00,13.600,13.900,99.700,0.000,0.000,6.107,-1.369
2014-12-01 01:00:00,16.500,16.700,99.400,0.000,3.000,0.839,-1.290
2014-12-01 02:00:00,17.000,16.700,97.700,0.000,1.000,1.260,-1.098
2014-12-01 03:00:00,15.700,15.800,98.600,0.000,3.000,1.472,-0.883
2014-12-01 04:00:00,14.300,14.300,98.900,0.000,4.000,1.621,-0.665
2014-12-01 05:00:00,13.500,13.600,99.000,0.000,3.000,1.749,-0.447
2014-12-01 06:00:00,12.600,12.500,98.100,0.000,4.000,1.874,-0.234
2014-12-01 07:00:00,12.000,12.000,97.000,0.500,3.000,2.007,-0.016
2014-12-01 08:00:00,12.700,12.800,93.000,9.100,3.000,2.158,0.163
2014-12-01 09:00:00,12.600,13.200,89.700,69.500,5.000,2.336,0.333
2014-12-01 10:00:00,11.800,12.800,84.200,115.800,5.000,2.552,0.474
2014-12-01 11:00:00,11.100,12.100,77.100,133.400,5.000,2.809,0.571
2014-12-01 12:00:00,11.200,12.000,71.700,68.500,5.000,3.098,0.612
2014-12-01 13:00:00,11.600,12.500,69.800,94.700,4.000,3.391,0.590
2014-12-01 14:00:00,10.500,11.700,79.400,105.700,5.000,3.659,0.507
2014-12-01 15:00:00,10.100,11.500,67.100,115.300,4.000,3.887,0.378
2014-12-01 16:00:00,8.300,8.000,85.100,48.800,5.000,4.075,0.215
2014-12-01 17:00:00,8.500,8.700,78.500,2.500,5.000,4.233,0.033
2014-12-01 18:00:00,7.900,8.000,72.700,0.000,4.000,4.370,-0.173
2014-12-01 19:00:00,6.200,6.100,88.000,0.000,5.000,4.496,-0.384
2014-12-01 20:00:00,5.400,5.400,92.300,0.000,4.000,4.621,-0.601
2014-12-01 21:00:00,5.600,5.700,89.200,0.000,4.000,4.761,-0.820
2014-12-01 22:00:00,5.100,4.400,89.800,0.000,5.000,4.945,-1.037
2014-12-01 23:00:00,4.800,4.900,80.100,0.000,3.000,5.272,-1.240
2014-12-02 00:00:00,4.900,4.400,78.000,0.000,2.000,6.097,-1.371
2014-12-02 01:00:00,4.900,5.000,73.900,0.000,3.000,0.841,-1.293
2014-12-02 02:00:00,4.900,5.100,72.500,0.000,3.000,1.264,-1.101
2014-12-02 03:00:00,5.200,5.400,73.700,0.000,4.000,1.475,-0.886
2014-12-02 04:00:00,5.400,5.600,70.500,0.000,4.000,1.623,-0.667
2014-12-02 05:00:00,5.300,5.400,72.300,0.000,4.000,1.751,-0.450
2014-12-02 06:00:00,4.700,4.800,77.600,0.000,3.000,1.876,-0.237
2014-12-02 07:00:00,4.100,4.100,85.600,0.500,2.000,2.009,-0.018
2014-12-02 08:00:00,4.900,5.100,79.000,21.100,3.000,2.159,0.160
2014-12-02 09:00:00,4.100,5.300,86.100,100.700,2.000,2.337,0.330
2014-12-02 10:00:00,5.200,6.900,79.200,177.800,3.000,2.552,0.471
2014-12-02 11:00:00,5.900,8.700,73.000,206.500,4.000,2.808,0.568
2014-12-02 12:00:00,5.800,10.600,68.400,568.500,4.000,3.096,0.610
2014-12-02 13:00:00,5.900,12.400,61.800,270.900,4.000,3.389,0.587
2014-12-02 14:00:00,5.500,8.000,69.700,184.800,5.000,3.656,0.506
2014-12-02 15:00:00,5.400,8.500,67.800,205.500,3.000,3.884,0.376
2014-12-02 16:00:00,4.800,5.800,76.000,41.300,2.000,4.072,0.214
2014-12-02 17:00:00,3.800,4.400,83.500,14.100,1.000,4.230,0.033
2014-12-02 18:00:00,3.700,3.600,86.700,0.000,1.000,4.367,-0.174
2014-12-02 19:00:00,3.600,3.700,88.200,0.000,2.000,4.492,-0.384
2014-12-02 20:00:00,4.400,4.400,84.700,0.000,1.000,4.617,-0.600
2014-12-02 21:00:00,4.400,4.300,81.600,0.000,2.000,4.756,-0.819
2014-12-02 22:00:00,4.500,3.800,80.300,0.000,2.000,4.939,-1.036
2014-12-02 23:00:00,4.600,4.300,78.100,0.000,2.000,5.263,-1.240
2014-12-03 00:00:00,4.700,4.200,76.500,0.000,2.000,6.087,-1.373
2014-12-03 01:00:00,4.000,2.900,80.100,0.000,2.000,0.843,-1.296
2014-12-03 02:00:00,3.300,3.400,81.900,0.000,1.000,1.267,-1.103
2014-12-03 03:00:00,3.400,4.100,82.200,0.000,1.000,1.477,-0.889
2014-12-03 04:00:00,4.400,4.600,83.700,0.000,2.000,1.625,-0.670
2014-12-03 05:00:00,4.300,4.500,87.400,0.000,2.000,1.753,-0.452
2014-12-03 06:00:00,4.400,4.700,89.100,0.000,2.000,1.877,-0.240
2014-12-03 07:00:00,4.200,4.700,91.300,1.000,2.000,2.010,-0.020
2014-12-03 08:00:00,4.500,5.000,92.200,21.700,2.000,2.160,0.157
2014-12-03 09:00:00,6.300,7.200,89.700,124.400,1.000,2.338,0.327
2014-12-03 10:00:00,7.100,10.600,83.700,214.500,1.000,2.552,0.468
2014-12-03 11:00:00,9.800,18.300,67.300,271.900,1.000,2.807,0.565
2014-12-03 12:00:00,9.400,11.600,77.800,161.600,2.000,3.094,0.607
2014-12-03 13:00:00,10.600,13.200,71.600,315.700,2.000,3.386,0.585
2014-12-03 14:00:00,11.200,13.000,70.100,192.400,2.000,3.654,0.504
2014-12-03 15:00:00,10.900,11.900,69.500,118.300,1.000,3.881,0.375
2014-12-03 16:00:00,10.800,11.200,72.000,36.800,2.000,4.069,0.213
