datetime,amedas,ek,humid,solar,wind,azimuth,altitude
2015-04-01 00:00:00,13.010,8.000,88.500,0.000,0.000,0.094,-0.872
2015-04-01 01:00:00,11.900,9.300,90.100,0.000,0.000,0.477,-0.811
2015-04-01 02:00:00,11.150,8.200,91.700,0.000,0.000,0.790,-0.684
2015-04-01 03:00:00,12.780,11.200,84.400,0.000,0.000,1.033,-0.516
2015-04-01 04:00:00,11.650,8.400,89.600,0.000,0.000,1.226,-0.324
2015-04-01 05:00:00,11.680,10.000,86.900,0.000,0.000,1.392,-0.117
2015-04-01 06:00:00,12.160,11.600,86.800,11.100,0.000,1.546,0.096
2015-04-01 07:00:00,12.900,12.400,85.500,41.800,0.000,1.701,0.306
2015-04-01 08:00:00,13.680,14.700,79.300,172.700,0.000,1.874,0.514
2015-04-01 09:00:00,14.640,15.700,74.200,232.100,0.000,2.087,0.708
2015-04-01 10:00:00,15.630,16.900,68.100,199.400,0.000,2.373,0.877
2015-04-01 11:00:00,17.340,19.200,61.500,310.700,0.000,2.770,0.993
2015-04-01 12:00:00,17.890,20.400,54.800,365.600,0.000,3.259,1.021
2015-04-01 13:00:00,18.510,20.100,57.800,359.000,0.000,3.716,0.948
2015-04-01 14:00:00,18.470,19.100,59.600,174.700,0.000,4.057,0.803
2015-04-01 15:00:00,19.870,22.100,56.100,487.400,0.000,4.304,0.620
2015-04-01 16:00:00,19.650,20.200,57.800,167.200,0.000,4.496,0.418
2015-04-01 17:00:00,16.510,15.000,69.800,11.600,0.000,4.659,0.209
2015-04-01 18:00:00,14.400,13.000,73.000,0.000,0.000,4.812,0.004
2015-04-01 19:00:00,13.100,12.000,76.100,0.000,0.000,4.970,-0.213
2015-04-01 20:00:00,12.300,10.700,85.600,0.000,0.000,5.147,-0.413
2015-04-01 21:00:00,11.520,10.500,90.600,0.000,0.000,5.361,-0.595
2015-04-01 22:00:00,11.550,10.400,92.500,0.000,0.000,5.635,-0.745
2015-04-01 23:00:00,10.910,9.900,93.300,0.000,0.000,5.981,-0.843
2015-04-02 00:00:00,10.370,8.700,94.100,0.000,0.000,0.096,-0.865
2015-04-02 01:00:00,9.690,8.000,94.700,0.000,0.000,0.475,-0.804
2015-04-02 02:00:00,9.220,7.600,94.100,0.000,0.000,0.786,-0.678
2015-04-02 03:00:00,8.240,6.900,93.800,0.000,0.000,1.028,-0.510
2015-04-02 04:00:00,8.050,6.200,94.600,0.000,0.000,1.222,-0.318
2015-04-02 05:00:00,7.190,5.200,94.600,0.000,0.000,1.387,-0.111
2015-04-02 06:00:00,8.030,6.100,94.100,36.300,0.000,1.541,0.101
2015-04-02 07:00:00,9.870,11.800,78.500,157.100,0.000,1.696,0.311
2015-04-02 08:00:00,10.910,14.500,65.000,481.900,0.000,1.869,0.519
2015-04-02 09:00:00,13.630,16.300,57.500,712.500,0.000,2.082,0.714
2015-04-02 10:00:00,14.020,17.900,49.000,859.100,0.000,2.369,0.883
2015-04-02 11:00:00,16.380,18.700,48.600,951.200,0.000,2.769,1.000
2015-04-02 12:00:00,16.640,18.800,43.900,930.100,0.000,3.263,1.027
2015-04-02 13:00:00,17.480,19.400,44.200,871.700,0.000,3.723,0.953
2015-04-02 14:00:00,17.780,19.100,39.400,745.800,0.000,4.065,0.808
2015-04-02 15:00:00,18.220,19.600,37.600,576.100,0.000,4.312,0.624
